TIME;Cours_action_ZE;Inflation_ZE;TX_LT;Var_CAC40;Var_FTSE100;Var_DAX;Var_EUST50;TX_change_ZE;PIB_ZE;PIB_G7;FBCF_EU;FIDLEUI LX Equity
2003-09;63,66973;2,2;4,2319;-5,33%;-1,68%;-6,54%;-6,29%;0,886034;0,561971;1,09296;1,53075;6,368
2003-10;63,30818;2,1;4,3081;7,60%;4,80%;12,26%;7,48%;0,886034;0,561971;1,09296;1,53075;6,927
2003-11;65,66476;2,2;4,4378;1,53%;1,28%;2,46%;2,15%;0,886034;0,561971;1,09296;1,53075;6,976
2003-12;67,2491;2;4,356;3,89%;3,09%;5,85%;4,95%;0,886034;0,745332;0,965667;1,41511;7,058
2004-01;70,34704;1,8;4,2567;2,26%;-1,93%;2,36%;2,84%;0,805365;0,745332;0,965667;1,41511;7,491
2004-02;71,26749;1,7;4,1833;2,39%;2,31%;-1,00%;1,90%;0,805365;0,745332;0,965667;1,41511;7,755
2004-03;70,3229;1,7;4,0194;-2,69%;-2,37%;-4,02%;-3,65%;0,805365;0,505416;0,51905;1,086705;7,631
2004-04;71,57403;2,1;4,2424;1,35%;2,37%;3,33%;0,00%;0,805365;0,505416;0,51905;1,086705;7,654
2004-05;68,60185;2,5;4,3862;-0,13%;-1,31%;-1,60%;-1,36%;0,805365;0,505416;0,51905;1,086705;7,581
2004-06;70,11012;2,4;4,4426;1,73%;0,75%;3,35%;2,24%;0,805365;0,597758;0,555237;0,798211;7,722
2004-07;68,82024;2,3;4,3396;-2,30%;-1,14%;-3,88%;-3,24%;0,805365;0,597758;0,555237;0,798211;7,455
2004-08;67,06214;2,4;4,1679;-1,45%;1,05%;-2,83%;-1,81%;0,805365;0,597758;0,555237;0,798211;7,333
2004-09;69,61803;2,2;4,114;1,29%;2,50%;2,85%;2,08%;0,805365;0,256923;0,622341;0,598354;7,533
2004-10;70,75603;2,4;3,9794;1,82%;1,17%;1,73%;3,13%;0,805365;0,256923;0,622341;0,598354;7,624
2004-11;72,98433;2,3;3,8687;1,27%;1,71%;4,19%;2,30%;0,805365;0,256923;0,622341;0,598354;7,898
2004-12;74,34522;2,4;3,6893;1,80%;2,36%;3,15%;2,59%;0,805365;0,365918;0,566529;0,469799;8,064
2005-01;75,63088;1,9;3,6336;2,42%;0,79%;-0,03%;1,14%;0,80412;0,216647;0,699784;0,89745;8,309
2005-02;78,31533;2,1;3,6153;2,90%;2,39%;2,25%;2,47%;0,80412;0,216647;0,699784;0,89745;8,696
2005-03;78,55506;2,2;3,7625;1,01%;-1,49%;-0,04%;-0,08%;0,80412;0,216647;0,699784;0,89745;8,621
2005-04;77,45888;2,1;3,5709;-3,84%;-1,89%;-3,77%;-4,11%;0,80412;0,616261;0,572588;2,439823;8,343
2005-05;77,51306;2;3,4074;5,34%;3,38%;6,59%;5,00%;0,80412;0,616261;0,572588;2,439823;8,793
